query,page,clicks,impressions,ctr_percent,position
заказать суши в одессе,https://pandasushi.od.ua/,0,5,0.00,70.4
заказать суши одесса,https://pandasushi.od.ua/,0,5,0.00,70.2
замовити роли одеса,https://pandasushi.od.ua/,0,4,0.00,33.0
замовити роли одеса,https://pandasushi.od.ua/sety.html,0,2,0.00,62.0
замовити суші в одесі,https://pandasushi.od.ua/,0,4,0.00,36.5
замовити суші одеса,https://pandasushi.od.ua/,0,7,0.00,37.3
круглосуточная доставка суши,https://pandasushi.od.ua/,0,1,0.00,11.0
одеса суші,https://pandasushi.od.ua/,0,6,0.00,35.5
одесса суши,https://pandasushi.od.ua/,0,6,0.00,49.2
панда,https://pandasushi.od.ua/,0,2,0.00,8.0
панда доставка,https://pandasushi.od.ua/,0,2,0.00,6.5
панда доставка,https://pandasushi.od.ua/delivery.html,0,1,0.00,4.0
панда меню,https://pandasushi.od.ua/,0,1,0.00,2.0
панда меню,https://pandasushi.od.ua/menu.html,0,1,0.00,10.0
панда піца,https://pandasushi.od.ua/,0,1,0.00,4.0
панда роллс,https://pandasushi.od.ua/,0,1,0.00,20.0
панда ролс,https://pandasushi.od.ua/,0,2,0.00,12.5
панда ролс,https://pandasushi.od.ua/about.html,0,1,0.00,50.0
панда ролс,https://pandasushi.od.ua/blog.html,0,1,0.00,65.0
панда ролс,https://pandasushi.od.ua/contacts.html,0,1,0.00,67.0
панда ролс,https://pandasushi.od.ua/menu.html,0,1,0.00,45.0
панда ролс,https://pandasushi.od.ua/promotions.html,0,1,0.00,64.0
панда ролс,https://pandasushi.od.ua/rolls.html,0,1,0.00,35.0
панда ролс,https://pandasushi.od.ua/sety.html,0,1,0.00,58.0
панда ролс,https://pandasushi.od.ua/zakusky.html,0,1,0.00,60.0
панда скши,https://pandasushi.od.ua/,0,1,0.00,12.0
панда суши,https://pandasushi.od.ua/menu.html,0,3,0.00,57.0
панда суши,https://pandasushi.od.ua/sety.html,0,3,0.00,8.3
панда суши меню,https://pandasushi.od.ua/,0,2,0.00,1.0
панда суши меню,https://pandasushi.od.ua/menu.html,0,2,0.00,2.0
панда суши южный,https://pandasushi.od.ua/,0,6,0.00,7.0
панда суши южный,https://pandasushi.od.ua/contacts.html,0,1,0.00,11.0
панда суші,https://pandasushi.od.ua/promotions.html,0,1,0.00,4.0
панда суші,https://pandasushi.od.ua/sety.html,0,6,0.00,9.7
панда суші вінниця,https://pandasushi.od.ua/,0,1,0.00,30.0
панда суші львів,https://pandasushi.od.ua/,0,2,0.00,29.0
панда суші меню,https://pandasushi.od.ua/,0,1,0.00,15.0
панда суші чернівці,https://pandasushi.od.ua/,0,1,0.00,11.0
панда экспресс доставка,https://pandasushi.od.ua/,0,1,0.00,19.0
панда юа,https://pandasushi.od.ua/,0,1,0.00,5.0
панда южный,https://pandasushi.od.ua/,0,2,0.00,8.0
пандасуші,https://pandasushi.od.ua/,0,1,0.00,10.0
пантао,https://pandasushi.od.ua/,0,2,0.00,6.0
поке заказать,https://pandasushi.od.ua/poke.html,0,1,0.00,13.0
поке одесса,https://pandasushi.od.ua/poke.html,0,2,0.00,29.5
роли одеса,https://pandasushi.od.ua/,0,2,0.00,29.5
роллы доставка одесса,https://pandasushi.od.ua/,0,1,0.00,48.0
роллы одесса доставка,https://pandasushi.od.ua/,0,2,0.00,56.0
сайт панда,https://pandasushi.od.ua/,0,3,0.00,2.0
суши банда,https://pandasushi.od.ua/,0,3,0.00,7.0
суши в одессе,https://pandasushi.od.ua/,0,2,0.00,59.5
суши доставка 24/7,https://pandasushi.od.ua/,0,1,0.00,3.0
суши доставка одеса,https://pandasushi.od.ua/,0,2,0.00,12.0
суши доставка одесса,https://pandasushi.od.ua/,0,9,0.00,37.8
суши одесса,https://pandasushi.od.ua/,0,23,0.00,37.5
суши одесса доставка,https://pandasushi.od.ua/,0,10,0.00,38.9
суши одесса круглосуточно,https://pandasushi.od.ua/,0,4,0.00,5.3
суши пан,https://pandasushi.od.ua/,0,1,0.00,10.0
суши панда,https://pandasushi.od.ua/,0,13,0.00,10.5
суши панда,https://pandasushi.od.ua/about.html,0,1,0.00,66.0
суши панда,https://pandasushi.od.ua/contacts.html,0,1,0.00,73.0
суши панда,https://pandasushi.od.ua/menu.html,0,2,0.00,58.5
суши панда южный,https://pandasushi.od.ua/,0,4,0.00,9.8
суши панла,https://pandasushi.od.ua/,0,1,0.00,12.0
суши счастливое,https://pandasushi.od.ua/,0,1,0.00,17.0
суши фонтанка,https://pandasushi.od.ua/,0,2,0.00,29.5
сушипанда,https://pandasushi.od.ua/,0,1,0.00,18.0
сушия одесса,https://pandasushi.od.ua/,0,2,0.00,36.0
суші в одесі,https://pandasushi.od.ua/,0,1,0.00,34.0
суші доставка одеса,https://pandasushi.od.ua/,0,4,0.00,31.5
суші одеса,https://pandasushi.od.ua/,0,14,0.00,30.6
суші одеса доставка,https://pandasushi.od.ua/,0,7,0.00,28.1
суші одеса замовити,https://pandasushi.od.ua/,0,5,0.00,36.8
суші панда,https://pandasushi.od.ua/,0,2,0.00,6.5
суші панда,https://pandasushi.od.ua/about.html,0,1,0.00,52.0
суші панда,https://pandasushi.od.ua/contacts.html,0,1,0.00,80.0
суші панда,https://pandasushi.od.ua/delivery.html,0,1,0.00,77.0
суші панда,https://pandasushi.od.ua/menu.html,0,1,0.00,60.0
суші панда сарни,https://pandasushi.od.ua/,0,1,0.00,10.0
